	Input x	Input y	KS-d	p-value
193	('LCA', 'Cement  ozone depletion  CF [kg CFC-11./kg]')	Alternative B	1.0	1.0825088224469026e-05
194	('LCA', 'Cement  H  ecosystem quality  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
195	('LCA', 'Cement  I  particulate matter formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
196	('LCA', 'Cement  H  marine ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
197	('LCA', 'Cement  H  terrestrial acidification  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
198	('LCA', 'Cement  I  natural land transformation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
199	('LCA', 'Cement  respiratory effects average  CF [kg PM2.5-./kg]')	Alternative B	1.0	1.0825088224469026e-05
200	('LCA', 'Cement  E  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
201	('LCA', 'Cement  E  all  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
202	('LCA', 'Cement  I  human toxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
203	('LCA', 'Cement  E  climate change human health  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
204	('LCA', 'Cement  H  ionising radiation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
205	('LCA', 'Cement  I  climate change human health  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
206	('LCA', 'Cement  I  human health  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
207	('LCA', 'Cement  E  terrestrial acidification  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
208	('LCA', 'Cement  I  freshwater ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
209	('LCA', 'Cement  H  terrestrial ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
210	('LCA', 'Cement  H  all  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
211	('LCA', 'Cement  I  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
212	('LCA', 'Cement  I  ozone depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
213	('LCA', 'Cement  H  resources  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
214	('LCA', 'Cement  I  all  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
215	('LCA', 'Cement  E  human health  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
216	('LCA', 'Cement  H  ozone depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
217	('LCA', 'Cement  I  terrestrial ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
218	('LCA', 'Cement  H  agricultural land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
219	('LCA', 'Cement  I  ecosystem quality  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
220	('LCA', 'Cement  I  freshwater eutrophication  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
221	('LCA', 'Cement  E  climate change ecosystems  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
222	('LCA', 'Cement  H  photochemical oxidant formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
223	('LCA', 'Cement  E  natural land transformation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
224	('LCA', 'Cement  I  marine ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
225	('LCA', 'Cement  H  climate change human health  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
226	('LCA', 'Cement  carcinogenics  CF [kg benzen./kg]')	Alternative B	1.0	1.0825088224469026e-05
227	('LCA', 'Cement  H  freshwater eutrophication  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
228	('LCA', 'Cement  global warming  CF [kg CO2-Eq/kg]')	Alternative B	0.7	0.012340600575894691
229	('LCA', 'Cement  E  ionising radiation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
230	('LCA', 'Cement  I  ionising radiation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
231	('LCA', 'Cement  I  resources  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
232	('LCA', 'Cement  E  ecosystem quality  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
233	('LCA', 'Cement  H  climate change ecosystems  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
234	('LCA', 'Cement  E  human toxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
235	('LCA', 'Cement  I  fossil depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
236	('LCA', 'Cement  E  agricultural land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
237	('LCA', 'Cement  I  climate change ecosystems  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
238	('LCA', 'Cement  H  natural land transformation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
239	('LCA', 'Cement  E  marine ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
240	('LCA', 'Cement  E  terrestrial ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
241	('LCA', 'Cement  acidification  CF [moles of ./kg]')	Alternative B	1.0	1.0825088224469026e-05
242	('LCA', 'Cement  eutrophication  CF [kg N/kg]')	Alternative B	1.0	1.0825088224469026e-05
243	('LCA', 'Cement  I  terrestrial acidification  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
244	('LCA', 'Cement  E  particulate matter formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
245	('LCA', 'Cement  H  freshwater ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
246	('LCA', 'Cement  E  photochemical oxidant formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
247	('LCA', 'Cement  E  resources  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
248	('LCA', 'Cement  H  human health  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
249	('LCA', 'Cement  E  fossil depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
250	('LCA', 'Cement  photochemical oxidation  CF [kg NOx-Eq/kg]')	Alternative B	1.0	1.0825088224469026e-05
